yr,sex,FirstForename,number,rank,position
2000,B,Phillip,2,514,  514=
2000,B,Pierre,2,514,  514=
2000,B,Prentice,2,514,  514=
2000,B,Rafael,2,514,  514=
2000,B,Rafe,2,514,  514=
2000,B,Ralph,2,514,  514=
2000,B,Reid,2,514,  514=
2000,B,Rhodri,2,514,  514=
2000,B,Rhuaridh,2,514,  514=
2000,B,Ricardo,2,514,  514=
2000,B,Robby,2,514,  514=
2000,B,Robi,2,514,  514=
2000,B,Roman,2,514,  514=
2000,B,Rorie,2,514,  514=
2000,B,Rudi,2,514,  514=
2000,B,Safwaan,2,514,  514=
2000,B,Salman,2,514,  514=
2000,B,Samir,2,514,  514=
2000,B,Sammy,2,514,  514=
2000,B,Seamus,2,514,  514=
2000,B,Sebastien,2,514,  514=
2000,B,Shae,2,514,  514=
2000,B,Simeon,2,514,  514=
2000,B,Simran,2,514,  514=
2000,B,Sohail,2,514,  514=
2000,B,Sorley,2,514,  514=
2000,B,Stanley,2,514,  514=
2000,B,Suraj,2,514,  514=
2000,B,T-Jay,2,514,  514=
2000,B,Tai,2,514,  514=
2000,B,Taimur,2,514,  514=
2000,B,Taran,2,514,  514=
2000,B,Terence,2,514,  514=
2000,B,Tijs,2,514,  514=
2000,B,Tobias,2,514,  514=
2000,B,Torin,2,514,  514=
2000,B,Trent,2,514,  514=
2000,B,Trey,2,514,  514=
2000,B,Ty,2,514,  514=
2000,B,Tyrone,2,514,  514=
2000,B,Uwais,2,514,  514=
2000,B,Valentino,2,514,  514=
2000,B,Varun,2,514,  514=
2000,B,Wai,2,514,  514=
2000,B,Waqar,2,514,  514=
2000,B,Wayne,2,514,  514=
2000,B,Zaid,2,514,  514=
2000,B,Zen,2,514,  514=
2000,B,Ziad,2,514,  514=
2000,B,A-Jay,1,720,  720=
2000,B,Aadam,1,720,  720=
2000,B,Aadyn,1,720,  720=
2000,B,Aaiden,1,720,  720=
2000,B,Aaqib,1,720,  720=
2000,B,Aarondeep,1,720,  720=
2000,B,Aaronveer,1,720,  720=
2000,B,Aarran,1,720,  720=
2000,B,Aatu,1,720,  720=
2000,B,Aazam,1,720,  720=
2000,B,Abbaas,1,720,  720=
2000,B,Abbie,1,720,  720=
2000,B,Abd,1,720,  720=
2000,B,Abdallah,1,720,  720=
2000,B,Abdulmalik,1,720,  720=
2000,B,Abdulmunim,1,720,  720=
2000,B,Abdulrahman,1,720,  720=
2000,B,Abdulwahaab,1,720,  720=
2000,B,Abdurraouf,1,720,  720=
2000,B,Abdussadik,1,720,  720=
2000,B,Abdussalam,1,720,  720=
2000,B,Abe,1,720,  720=
2000,B,Abed,1,720,  720=
2000,B,Abhur,1,720,  720=
2000,B,Abraham,1,720,  720=
2000,B,Ace,1,720,  720=
2000,B,Adel,1,720,  720=
2000,B,Adem,1,720,  720=
2000,B,Adeniyi,1,720,  720=
2000,B,Adin,1,720,  720=
2000,B,Adnaan,1,720,  720=
2000,B,Adnan,1,720,  720=
2000,B,Adrees,1,720,  720=
2000,B,Adrien,1,720,  720=
2000,B,Aeneas,1,720,  720=
2000,B,Aengus,1,720,  720=
2000,B,Afaan,1,720,  720=
2000,B,Aharon,1,720,  720=
2000,B,Ahmad,1,720,  720=
2000,B,Ahsen,1,720,  720=
2000,B,Aidan-Lee,1,720,  720=
2000,B,Aidann,1,720,  720=
2000,B,Aidian,1,720,  720=
2000,B,Aidin,1,720,  720=
2000,B,Aidyn,1,720,  720=
2000,B,Aiman,1,720,  720=
2000,B,Ajaypall,1,720,  720=
2000,B,Ajit,1,720,  720=
2000,B,Akasha,1,720,  720=
2000,B,Akbar,1,720,  720=
2000,B,Akeil,1,720,  720=
2000,B,Albert,1,720,  720=
2000,B,Albra,1,720,  720=
2000,B,Aldo,1,720,  720=
2000,B,Aleksandar,1,720,  720=
2000,B,Ali-Raza,1,720,  720=
2000,B,Alix,1,720,  720=
2000,B,Aliyan,1,720,  720=
2000,B,Alkin,1,720,  720=
2000,B,Allan-John,1,720,  720=
2000,B,Allen,1,720,  720=
2000,B,Allesandro,1,720,  720=
2000,B,Ally,1,720,  720=
2000,B,Allyn,1,720,  720=
2000,B,Alston,1,720,  720=
2000,B,Amair,1,720,  720=
2000,B,Amandeep,1,720,  720=
2000,B,Amanjit,1,720,  720=
2000,B,Amerigo,1,720,  720=
2000,B,Amodio,1,720,  720=
